"gene","logFC","logCPM","PValue","FDR","topDE"
"AL158152.1",0.716136841926642,6.02157707597146,3.99539229725392e-07,3.81156488810933e-05,"NA"
"AL034418.1",0.965369470111791,5.43572531244401,4.29865605439926e-07,4.08077319360275e-05,"NA"
"TCF4-AS2",1.08269996904428,5.23953068889194,4.3716577031314e-07,4.12983039408989e-05,"Up"
"CERKL",0.752747492497026,5.94222603578513,4.50037669795638e-07,4.2307910258555e-05,"NA"
"AC008758.6",-0.972437007554412,4.8418413511239,4.57608702006896e-07,4.26348550454073e-05,"NA"
"AL359955.1",0.845888161181893,5.69014280876428,4.60368431730577e-07,4.26348550454073e-05,"NA"
"PITX1",-0.705242145092226,5.52050833061334,4.61917591369655e-07,4.26348550454073e-05,"NA"
"AC147651.1",-0.756393350492472,5.3579554303932,4.62321571802929e-07,4.26348550454073e-05,"NA"
"NME8",1.18193354117732,5.10288796881894,5.08536559741233e-07,4.66744977059181e-05,"Up"
"NETO2",0.851331120210434,5.67580851025533,5.16498758676755e-07,4.71816743421416e-05,"NA"
"AF178030.1",0.871562084998967,5.62536985688638,5.23385229970093e-07,4.7586283397187e-05,"NA"
"WNK2",-0.704027692927774,5.53971649395554,5.25958713084597e-07,4.75968057831603e-05,"NA"
"CYP2A6",-0.81982507940547,5.18947180214927,5.308603433931e-07,4.7816936791399e-05,"NA"
"AL034417.2",-0.918622694815698,4.9296479071127,5.6283681161205e-07,5.04624893225878e-05,"NA"
"AL022328.4",-0.801566755985767,5.21240126074877,5.75196040573874e-07,5.13329332799707e-05,"NA"
"AC012020.1",0.797868625406643,5.75727559485819,5.81295962142116e-07,5.16393468020377e-05,"NA"
"KCTD4",0.853531065836483,5.64737943310286,6.03778020412735e-07,5.33916216589636e-05,"NA"
"ACAP2-IT1",0.924271317868579,5.50100774666414,6.12030671711971e-07,5.38753908562456e-05,"NA"
"AC099066.2",1.00977957315839,5.34740165397166,6.51498571518388e-07,5.70901417919688e-05,"Up"
"AP005131.2",0.871504053376948,5.59533582653226,6.56068472044548e-07,5.72316307640302e-05,"NA"
"AP000919.1",0.822618215520111,5.69456718629975,6.80811850988403e-07,5.91237771580333e-05,"NA"
"UBE2FP1",1.01655243652043,5.29670733224869,7.32898147659937e-07,6.33629711052783e-05,"Up"
"LARP4P",0.94912089022158,5.42401152098163,7.5744566141058e-07,6.4746127472442e-05,"NA"
"AC130895.1",0.90887868426168,5.53784215884541,7.57797150188612e-07,6.4746127472442e-05,"NA"
"DCAF13P3",0.85742482067931,5.61749090590201,7.58926517414248e-07,6.4746127472442e-05,"NA"
"HOXC8",-0.714194296016624,5.46735370369126,7.67979272381983e-07,6.52310815304802e-05,"NA"
"NEUROD2",-0.95826304170958,4.82503713320384,7.9837104996046e-07,6.75163919368309e-05,"NA"
"AL355852.1",1.01837953042033,5.27741700346592,8.04179972413819e-07,6.77119536772435e-05,"Up"
"AC093899.2",0.918906160979453,5.50884176834834,8.10000576812417e-07,6.79068016041094e-05,"NA"
"TAS2R43",1.02864455411093,5.36600573757949,8.15865566856688e-07,6.81036748609768e-05,"Up"
"KMO",0.776323528180826,5.78248407613651,8.76623051215286e-07,7.28612961795503e-05,"NA"
"HIST1H2AH",0.838455871336518,5.67611788292355,8.83163083319708e-07,7.30911806477328e-05,"NA"
"IL10",0.789672449594746,5.75938559048016,9.03696804657525e-07,7.42183174164624e-05,"NA"
"AMN",-0.812177074917155,5.15682365418893,9.04447119192664e-07,7.42183174164624e-05,"NA"
"MT-ND6",-0.537156109253398,6.16627720857639,9.20448929199593e-07,7.52127171429507e-05,"NA"
"GPR19",1.12165270309649,5.1458293642565,9.43422141784175e-07,7.66184355272254e-05,"Up"
"NUP62CL",1.01997800839604,5.29028382722625,9.45564705721723e-07,7.66184355272254e-05,"Up"
"MIR155HG",0.780321842048046,5.7689955809375,9.8741508000901e-07,7.9676168497727e-05,"NA"
"AC025034.1",0.755434316793935,5.8240697239388,1.002881549988e-06,8.05883987430191e-05,"NA"
"AC037198.1",0.97666667279373,5.3854956508768,1.01034871308964e-06,8.08529470152646e-05,"NA"
"GAPT",0.788495788388316,5.7455180582496,1.01751564413236e-06,8.10913907994542e-05,"NA"
"AC018797.2",0.786123807657381,5.76749434830365,1.05778649104606e-06,8.39552999409752e-05,"NA"
"NUDT4B",0.868245524562061,5.58290645212357,1.10593752439478e-06,8.70434310484682e-05,"NA"
"MTCO3P11",0.864609476213061,5.58361166954492,1.10593752439478e-06,8.70434310484682e-05,"NA"
"AC244453.2",0.861308389732796,5.55821876432098,1.11017904931176e-06,8.70434310484682e-05,"NA"
"AC084824.5",1.05469020495371,5.23401623547163,1.14677832294695e-06,8.95504395249625e-05,"Up"
"CCDC154",-0.709811336757326,5.4380663552915,1.16477519412657e-06,9.05905076684947e-05,"NA"
"MCTS2P",0.863850934414258,5.58137683519026,1.19095714829871e-06,9.22563045358114e-05,"NA"
"TAS2R46",0.867865288787079,5.55626615619261,1.19651992707268e-06,9.23179478394008e-05,"NA"
"AC006460.1",1.00924283678517,5.28498440624624,1.21821246588599e-06,9.36186611680478e-05,"Up"
"FTH1P23",1.01254230782911,5.26770356165959,1.23158664030963e-06,9.42723591946099e-05,"Up"
"ST6GALNAC4P1",-0.93264064840181,4.86094609249745,1.24715282076061e-06,9.50880375072832e-05,"NA"
"AC002310.5",-0.725559815125563,5.38355247392453,1.263455913354e-06,9.59532832078965e-05,"NA"
"C4orf45",1.01627327419852,5.26583156058579,1.34053676701212e-06,0.000101409511835769,"Up"
"HIST1H4F",0.805056037886776,5.68102836236016,1.38876644457332e-06,0.000104649225547109,"NA"
"AC093311.1",0.938469229167909,5.37989152240598,1.39514998386364e-06,0.000104722769719005,"NA"
"MIR181A1HG",0.73222521623271,5.88089005905549,1.40339191993701e-06,0.000104934702399614,"NA"
"TMPRSS11D",0.924534860400132,5.40972502757714,1.43455936251511e-06,0.000106498770043061,"NA"
"GRIK5",-0.780876049997745,5.21857159355094,1.43954087657786e-06,0.000106498770043061,"NA"
"CR1",0.625583933026217,6.18945102515628,1.44080748483331e-06,0.000106498770043061,"NA"
"PDSS1P1",0.751276799312927,5.79503195263373,1.45869299374404e-06,0.000107410830862537,"NA"
"TOMM20P2",1.04411694490369,5.22732745663512,1.48476250619278e-06,0.0001086210519307,"Up"
"ESCO2",0.813359277118381,5.64232532169548,1.4863461097612e-06,0.0001086210519307,"NA"
"KLRC1",1.05228959380805,5.20910971359702,1.49235824983385e-06,0.000108650413031136,"Up"
"XIST",0.737685069018416,6.52935679121808,1.52009154769449e-06,0.000110255029635399,"NA"
"HIST1H4L",0.860367041000287,5.5486606471243,1.61224901814501e-06,0.000116445568273927,"NA"
"AC008149.1",0.96016034448708,5.32838350287265,1.61746658399703e-06,0.000116445568273927,"NA"
"QPCT",0.728345810087524,5.86720946073834,1.69035682030188e-06,0.000121242408081356,"NA"
"LINC01619",1.01254113285992,5.25934361090432,1.72702229480466e-06,0.000123415179930579,"Up"
"METTL15P1",0.858751595928917,5.52132026109734,1.7438746176048e-06,0.000124161308251965,"NA"
